,participant_id,pwvDmed,swvDmed,uwvDmed
0,8,0.23453134298324585,0.5784519910812378,
1,27,0.4244154393672943,0.6054024696350098,0.5323341488838196
2,28,0.5620556473731995,0.37150174379348755,
3,30,0.5310325622558594,0.5511425733566284,0.5060584545135498
4,32,0.4058578610420227,0.49979281425476074,
5,33,0.5098133087158203,0.44529613852500916,0.33463937044143677
6,35,0.6207687258720398,0.4405079185962677,
7,36,0.44983166456222534,0.5431908369064331,
8,37,0.7045994997024536,,
9,39,0.45219025015830994,0.4557410478591919,0.5449572801589966
10,40,0.3662261664867401,0.3773619830608368,0.4501745104789734
11,41,0.5757753849029541,0.5303081274032593,0.2697365880012512
12,44,0.3974308371543884,0.4252696633338928,0.5198004245758057
13,47,,,
14,48,0.5891566276550293,0.5543458461761475,
15,49,,0.6800949573516846,
16,50,0.5796024799346924,0.3895144760608673,
17,51,0.2842768430709839,0.3988416790962219,0.8437857627868652
18,52,0.5744837522506714,0.5446282625198364,0.5039330720901489
19,53,0.5416333675384521,0.3873874545097351,
20,54,0.6170680522918701,0.4806614816188812,
21,55,0.40924301743507385,,0.5699324011802673
22,56,0.3979642391204834,0.5317569375038147,0.2295823097229004
23,57,0.530861496925354,0.4474160671234131,
24,58,,,
25,59,0.625222384929657,0.20922230184078217,0.26597511768341064
26,60,0.4889804720878601,0.4578647017478943,
27,61,0.5082486867904663,,
28,62,0.6333863735198975,0.3542475700378418,0.4913865625858307
29,63,0.7516852021217346,0.6242985725402832,0.37517794966697693
30,64,0.4340240955352783,0.5007917881011963,0.46656858921051025
31,65,0.6888822913169861,0.4906742572784424,0.7332665324211121
32,66,0.5668796896934509,0.5231372117996216,
33,67,0.4343312978744507,0.3057015538215637,
34,68,,,
35,69,0.5461452007293701,0.47604799270629883,0.5100377798080444
36,70,0.44801652431488037,0.40270283818244934,
37,72,0.42169851064682007,0.3601110875606537,0.33643174171447754
38,74,0.3528493344783783,0.47650593519210815,0.4865458309650421
39,76,0.5422760248184204,0.5081192255020142,0.6482643485069275
40,78,0.44481274485588074,0.48221126198768616,0.5616576075553894
41,79,0.5354999899864197,0.6345364451408386,
42,80,,,
43,81,0.5976173281669617,0.37515735626220703,0.4720991551876068
44,82,0.44717341661453247,0.32560425996780396,
45,83,0.5696858167648315,0.5405963659286499,
46,84,0.7045890688896179,0.49206751585006714,
47,85,0.4472893476486206,0.4907650649547577,
48,86,0.5261530876159668,0.3275938630104065,0.5085971355438232
49,87,0.5213806629180908,0.2454749494791031,
50,88,0.4542093276977539,0.2259228527545929,
51,89,0.3692658543586731,0.514870822429657,
52,90,0.5061416625976562,0.8572072386741638,
53,91,0.5578566789627075,0.38687801361083984,0.35802721977233887
54,93,0.3466879725456238,0.5709322690963745,
55,94,,,
56,95,0.35969579219818115,,
57,96,0.10286572575569153,0.43169644474983215,
58,97,0.5075883865356445,,0.5278184413909912
59,98,0.5281980037689209,0.34683775901794434,
60,99,0.4686404764652252,0.4840410351753235,0.4623079001903534
61,100,,,0.5698414444923401
62,102,0.5699001550674438,0.4501754343509674,0.6787387728691101
63,103,0.40162116289138794,0.6615903377532959,0.39220166206359863
64,104,0.5532325506210327,0.560777485370636,0.5399945974349976
65,105,0.5308114886283875,0.5819640755653381,0.5429511070251465
66,107,0.5586026906967163,0.639041543006897,
67,108,0.5036385655403137,0.4253557324409485,0.4237884283065796
68,109,0.4066539704799652,0.6039096117019653,0.36595889925956726
69,111,0.7421478629112244,0.6374752521514893,
70,112,,0.5124701261520386,0.3842056393623352
71,113,0.452038437128067,0.5818037390708923,0.4829547703266144
72,114,,,
73,116,,,
74,118,0.5608377456665039,0.6358799338340759,0.616418719291687
75,119,0.5806286931037903,0.4388623535633087,
76,120,0.6342887282371521,0.642886757850647,
77,121,0.4465491473674774,0.38306924700737,
78,122,0.4195522964000702,,0.5322346687316895
79,125,0.5531333088874817,0.5415471196174622,
80,127,0.4248688817024231,0.3806164562702179,0.6186234354972839
81,128,0.5502540469169617,0.4690794050693512,0.6339446902275085
82,129,0.828590452671051,0.5493291020393372,
83,130,0.4966948330402374,0.49552902579307556,0.4755770266056061
84,131,0.4195520877838135,0.38149553537368774,
85,132,0.534103274345398,0.6541782021522522,
86,133,0.5326623916625977,0.6395871639251709,0.5692981481552124
87,134,0.5215941667556763,0.5834945440292358,0.492509663105011
88,135,0.568305253982544,,0.4368092119693756
89,137,0.509677529335022,0.4318574070930481,0.3055078685283661
90,138,,0.2562256455421448,
91,139,0.5952163934707642,0.4734780192375183,0.5131003260612488
92,140,0.22232107818126678,0.2238965481519699,
93,141,0.520295262336731,0.525066614151001,0.5681313872337341
94,142,0.5192025899887085,0.4079681634902954,0.44145429134368896
95,143,0.38342761993408203,0.4263492822647095,0.4363899827003479
96,146,0.5607174038887024,0.3616395890712738,0.7356398105621338
97,147,0.5201781392097473,,
98,148,0.5984134674072266,,
99,150,0.3253546953201294,0.14347031712532043,0.23492194712162018
100,151,,,
101,152,0.6604772806167603,0.40714186429977417,
102,153,0.4971556067466736,0.47981634736061096,0.3926019072532654
103,155,0.5794546604156494,0.6914846897125244,0.36012792587280273
104,156,,,
105,157,0.4748190641403198,0.5475408434867859,0.5140488743782043
106,159,0.5342341065406799,0.5167519450187683,0.3064955174922943
107,160,0.4987890422344208,0.3790734112262726,0.5322127342224121
108,161,0.6202496290206909,0.5864108800888062,0.7482343316078186
109,163,0.5930421948432922,0.5866783857345581,0.37552645802497864
110,164,0.4621208608150482,0.38905155658721924,
111,165,0.4656839370727539,0.5151373147964478,0.3745325803756714
