,participant_id,pwvVar,swvVar,uwvVar
0,8,0.32431215047836304,0.5734580159187317,
1,27,0.44297075271606445,0.5352450609207153,0.5323341488838196
2,28,0.5065733790397644,0.39832767844200134,
3,30,0.5151612758636475,0.5529247522354126,0.5332750678062439
4,32,0.4143620729446411,0.4657558500766754,
5,33,0.3182693123817444,0.48736193776130676,0.17294421792030334
6,35,0.6168696880340576,0.4415102005004883,
7,36,0.45872604846954346,0.49995681643486023,
8,37,0.7643582820892334,,
9,39,0.4293079078197479,0.46705883741378784,0.5542397499084473
10,40,0.32218536734580994,0.3773619830608368,0.41071218252182007
11,41,0.5182307362556458,0.43009522557258606,0.3573223352432251
12,44,0.4781041145324707,0.4632747173309326,0.5039388537406921
13,47,,,
14,48,0.6391470432281494,0.5090438723564148,
15,49,,0.6800949573516846,
16,50,0.5601314902305603,0.4114319682121277,
17,51,0.2842768430709839,0.44921940565109253,0.8437857627868652
18,52,0.5399746298789978,0.5446282625198364,0.5391535758972168
19,53,0.5116735696792603,0.4540616571903229,
20,54,0.6594298481941223,0.5242434740066528,
21,55,0.4133922755718231,,0.5699324011802673
22,56,0.4016164243221283,0.4533436596393585,0.3223983645439148
23,57,0.5576006174087524,0.4486743211746216,
24,58,,,
25,59,0.625222384929657,0.5680258274078369,0.26597511768341064
26,60,0.3482697010040283,0.4919796288013458,
27,61,0.47968176007270813,,
28,62,0.5607889890670776,0.3681182265281677,0.4913865625858307
29,63,0.7209002375602722,0.6225141882896423,0.5031456351280212
30,64,0.3701271414756775,0.5181138515472412,0.4531007409095764
31,65,0.6431792974472046,0.5324492454528809,0.7332665324211121
32,66,0.6359230279922485,0.5440864562988281,
33,67,0.5015393495559692,0.3270806074142456,
34,68,,,
35,69,0.5255798697471619,0.465568870306015,0.5018106698989868
36,70,0.5636434555053711,0.16456596553325653,
37,72,0.4211918115615845,0.3601110875606537,0.3103245496749878
38,74,0.3528493344783783,0.47650593519210815,0.41314396262168884
39,76,0.5373477339744568,0.5012213587760925,0.6482643485069275
40,78,0.43172869086265564,0.4844645857810974,0.48692113161087036
41,79,0.5172336101531982,0.6345364451408386,
42,80,,,
43,81,0.6480029225349426,0.3946998417377472,0.5459619164466858
44,82,0.518433690071106,0.2789261043071747,
45,83,0.5774717926979065,0.5735389590263367,
46,84,0.6083016991615295,0.5170386433601379,
47,85,0.4664621949195862,0.4907650649547577,
48,86,0.4582342803478241,0.3275938630104065,0.44482794404029846
49,87,0.5213806629180908,0.2454749494791031,
50,88,0.4594038426876068,0.28855183720588684,
51,89,0.4187650680541992,0.5962361097335815,
52,90,0.5006649494171143,0.5142359137535095,
53,91,0.5041528940200806,0.34365394711494446,0.6142457127571106
54,93,0.3414372503757477,0.5078644752502441,
55,94,,,
56,95,0.35969579219818115,,
57,96,0.10286572575569153,0.43169644474983215,
58,97,0.4269952178001404,,0.49383530020713806
59,98,0.5281980037689209,0.36182111501693726,
60,99,0.5129397511482239,0.37629932165145874,0.35325613617897034
61,100,,,0.5698414444923401
62,102,0.5040508508682251,0.49791520833969116,0.6787387728691101
63,103,0.3796093165874481,0.5527292490005493,0.39220166206359863
64,104,0.5620693564414978,0.524640679359436,0.5515909194946289
65,105,0.5237089395523071,0.5498384237289429,0.5731592774391174
66,107,0.5153185129165649,0.5342728495597839,
67,108,0.421651154756546,0.44019779562950134,0.4237884283065796
68,109,0.5735651254653931,0.5295853018760681,0.40231743454933167
69,111,0.6968088746070862,0.5927432179450989,
70,112,,0.5284348130226135,0.38847658038139343
71,113,0.47819793224334717,0.5780318379402161,0.4829547703266144
72,114,,,
73,116,,,
74,118,0.5133764743804932,0.5517701506614685,0.5717238783836365
75,119,0.5363889336585999,0.4586179256439209,
76,120,0.6186447143554688,0.6557227373123169,
77,121,0.47396188974380493,0.38306924700737,
78,122,0.43589991331100464,,0.5112959146499634
79,125,0.5041979551315308,0.521080493927002,
80,127,0.41816169023513794,0.3811507225036621,0.5911349058151245
81,128,0.4880698025226593,0.4690794050693512,0.6459565162658691
82,129,0.7099499702453613,0.5493291020393372,
83,130,0.496891051530838,0.4513683319091797,0.4940248727798462
84,131,0.4005263149738312,0.42095860838890076,
85,132,0.5446791648864746,0.6541782021522522,
86,133,0.5110657215118408,0.5820115804672241,0.6022363901138306
87,134,0.5188033580780029,0.5735259652137756,0.5073956847190857
88,135,0.5290347337722778,,0.45987799763679504
89,137,0.5292264223098755,0.4324854016304016,0.37913376092910767
90,138,,0.2562256455421448,
91,139,0.5608543753623962,0.4997321665287018,0.41261816024780273
92,140,0.45850202441215515,0.43168696761131287,
93,141,0.5129170417785645,0.5063028931617737,0.5681313872337341
94,142,0.5173509120941162,0.4176672697067261,0.5739449262619019
95,143,0.41927921772003174,0.35186567902565,0.4876459538936615
96,146,0.5860381126403809,0.3616395890712738,0.6182297468185425
97,147,0.5423719882965088,,
98,148,0.3626769483089447,,
99,150,0.3521825075149536,0.14347031712532043,0.1052156537771225
100,151,,,
101,152,0.6604772806167603,0.3420976996421814,
102,153,0.4793567657470703,0.5248410105705261,0.37445348501205444
103,155,0.5322406888008118,0.5341663956642151,0.36012792587280273
104,156,,,
105,157,0.5725257992744446,0.5042153000831604,0.5140488743782043
106,159,0.4986927807331085,0.49155253171920776,0.33252668380737305
107,160,0.39862653613090515,0.3889767825603485,0.5342531204223633
108,161,0.5874614715576172,0.5341264605522156,0.7482343316078186
109,163,0.5251687169075012,0.5940203666687012,0.41525742411613464
110,164,0.4621208608150482,0.32970187067985535,
111,165,0.49510276317596436,0.5695294737815857,0.3745325803756714
