,0,1,2,3
0,-0.2073521,0.06984133,0.027487095,0.37790954
1,0.43422022,0.34921163,-0.0924425,0.56023264
2,0.56777275,0.170171,-0.25558642,0.5083623
3,0.35595417,0.20630184,-0.04058288,0.43748975
4,0.2550476,0.21707268,-0.31273213,0.46324193
5,0.39319915,0.6276088,-0.33299425,0.7185282
6,-0.74237615,0.28893602,0.4010189,-0.020248981
7,0.48962903,0.4161246,-0.31368715,0.5960875
8,0.07990044,0.03599485,0.15181065,0.38464424
9,0.39986795,0.2398496,-0.045321587,0.63538176
10,0.2395686,-0.13258049,0.024808215,0.535291
11,0.28173637,0.37820306,-0.3425369,0.41104612
12,0.5596262,0.06335629,-0.0673019,0.3722395
13,0.34821522,0.14250891,-0.12010499,0.44351155
14,0.27478802,0.16134225,-0.21524349,0.6361126
15,0.26136246,0.23944885,-0.19974823,0.60027707
16,0.3960549,0.22924867,-0.150867,0.48044428
17,0.1972439,0.16046126,-0.15157463,0.62386817
18,0.297614,0.13074245,-0.14824,0.56358284
19,0.19214617,0.13465735,0.19785902,0.124681555
20,-0.12983753,0.05750653,0.12870565,0.3574247
21,0.33615816,-0.066475876,-0.3469805,0.39799047
22,-0.04831279,0.17933282,0.2576139,0.3631032
23,-0.27277216,0.29693338,0.34741318,0.3030169
24,0.25259686,0.23013875,-0.018015545,0.4069411
25,0.25455898,-0.042714033,0.0098311305,0.26831153
26,-0.013386452,0.2097847,0.075629614,0.5037861
27,0.16575213,0.18143256,0.034849126,0.5249827
28,-0.47135502,0.6316173,0.40522003,0.7717746
29,0.041864958,-0.03877082,0.060123105,0.501043
30,0.38079908,-0.8641234,-0.7341458,0.48741028
31,0.25158593,0.24134804,-0.015803222,0.48824877
32,0.39544857,0.23987561,-0.4089028,0.6091869
33,0.30755234,-0.3299123,-0.4305364,0.46787888
34,0.2340893,-0.13665181,-0.23592241,0.57002336
35,0.44178998,0.4900522,0.12802774,0.76561695
36,0.1520968,0.6137744,-0.24399252,0.6451404
37,0.31536418,9.8869205e-05,-0.18759193,0.570509
38,-0.6950439,-0.12582396,0.6678774,0.22209926
39,0.51279324,0.41208383,-0.23505618,0.5487642
40,0.6729333,0.55800056,-0.24769981,0.4901927
41,0.5043034,0.4936468,-0.19853507,0.5792819
42,0.19721863,0.31351492,-0.3711387,0.6239155
43,0.3381488,0.25755665,-0.096545465,0.6763175
44,0.15740415,0.27700084,-0.05570513,0.58426434
45,0.5359262,0.51495254,-0.25895628,0.67157745
46,-0.27104253,-0.069724105,0.20004858,0.30388385
47,0.23961549,0.2719662,-0.18039428,0.529759
48,0.3722585,0.14101113,-0.13398132,0.5738459
49,-0.0841478,0.42716968,0.36093792,0.14383365
50,0.2936187,-0.26694974,-0.27053118,0.54617274
51,-0.6568318,0.26481682,0.4933716,0.08642921
52,0.39620814,0.20307101,0.06536771,0.7090462
53,0.5655179,0.33062127,-0.16381243,0.4243563
54,0.27847454,-0.07588266,-0.29479563,0.5963514
55,0.48099506,0.33389944,-0.08459492,0.66471285
56,0.37363505,0.2719701,-0.08249523,0.3962695
57,-0.2525102,-0.33172414,0.21720803,0.4417198
58,-0.24376437,-0.21479166,0.123815365,0.2975659
