,participant_id,pwvDmed,swvDmed,uwvDmed
0,8,0.13366705179214478,0.14933070540428162,1.0
1,27,0.36756083369255066,0.5040439367294312,1.0
2,28,0.7727764248847961,1.0,1.0
3,30,0.38620880246162415,1.0,1.0
4,32,0.7187490463256836,1.0,1.0
5,33,0.8604938983917236,0.07846185564994812,1.0
6,35,0.0891854465007782,0.8880060315132141,1.0
7,36,0.3646150231361389,0.16351865231990814,1.0
8,37,0.6333062648773193,0.9012552499771118,1.0
9,39,0.08080091327428818,1.0,0.6321952939033508
10,40,0.19036352634429932,1.0,0.08113574981689453
11,41,1.0,0.14524906873703003,1.0
12,44,0.6732228994369507,1.0,1.0
13,47,0.1266927272081375,-0.044638484716415405,1.0
14,48,0.5865561366081238,1.0,1.0
15,49,1.0,0.8488702178001404,1.0
16,50,0.848019540309906,1.0,1.0
17,51,1.0,0.1162746250629425,0.5541285276412964
18,52,1.0,0.8926905393600464,1.0
19,53,0.45506373047828674,0.4519343674182892,1.0
20,54,0.16413000226020813,0.07124926894903183,1.0
21,55,0.6401245594024658,1.0,1.0
22,56,0.5471912026405334,0.11100471019744873,1.0
23,57,0.6265035271644592,0.17098961770534515,1.0
24,58,,,
25,59,1.0,0.6441130638122559,0.7059212327003479
26,60,0.905372142791748,0.7076626420021057,1.0
27,61,0.7826703786849976,1.0,1.0
28,62,0.13543806970119476,0.10836710780858994,1.0
29,63,0.5134764313697815,0.4446776509284973,1.0
30,64,0.5709629058837891,0.4316416382789612,1.0
31,65,0.11643561720848083,0.11678703129291534,1.0
32,66,0.11647720634937286,0.12561483681201935,1.0
33,67,0.7157639861106873,0.7967045903205872,1.0
34,68,0.6328850388526917,1.0,1.0
35,69,0.6931853294372559,0.5503643751144409,1.0
36,70,0.6668086051940918,1.0,1.0
37,72,0.6074239015579224,1.0,0.790453314781189
38,74,0.22772565484046936,1.0,0.853718638420105
39,76,0.7634142637252808,0.1161460131406784,1.0
40,78,0.4724302291870117,0.30444300174713135,1.0
41,79,0.8355669379234314,1.0,1.0
42,80,,,
43,81,0.9607858657836914,0.5098657011985779,1.0
44,82,0.38470280170440674,0.13601051270961761,1.0
45,83,0.10373902320861816,0.09499870985746384,1.0
46,84,0.11777277290821075,0.09981441497802734,1.0
47,85,0.7074992656707764,0.15448620915412903,1.0
48,86,0.8689852356910706,1.0,0.8936505317687988
49,87,0.09312643855810165,0.04971341788768768,1.0
50,88,0.1253284364938736,0.040118176490068436,1.0
51,89,0.44407767057418823,0.948850154876709,1.0
52,90,0.4974137544631958,0.12840737402439117,1.0
53,91,0.8140336275100708,1.0,1.0
54,93,0.6106735467910767,0.6984456777572632,1.0
55,94,1.0,0.09389418363571167,1.0
56,95,0.6837290525436401,-0.004294116050004959,1.0
57,96,0.4472160339355469,0.3116351068019867,1.0
58,97,0.8243879675865173,1.0,0.8142690062522888
59,98,0.771227240562439,0.5600719451904297,1.0
60,99,0.6999680399894714,0.08233983814716339,1.0
61,100,1.0,1.0,0.9212738275527954
62,102,0.6936954259872437,0.2493075430393219,1.0
63,103,0.1695304661989212,0.9112144708633423,0.13214941322803497
64,104,0.8623477816581726,1.0,1.0
65,105,0.08446694165468216,0.09211023896932602,0.48157674074172974
66,107,0.335965633392334,0.09244641661643982,1.0
67,108,0.2516896426677704,0.06501533836126328,1.0
68,109,1.0,0.9156979322433472,0.7623188495635986
69,111,0.804929256439209,1.0,1.0
70,112,1.0,0.4899967610836029,0.1288028061389923
71,113,0.8061245679855347,0.7530380487442017,1.0
72,114,0.1399039775133133,0.027988670393824577,1.0
73,116,,,
74,118,0.7901526689529419,1.0,0.9646533727645874
75,119,0.38534432649612427,0.11215092241764069,1.0
76,120,0.14930254220962524,0.09544435888528824,1.0
77,121,0.07113673537969589,1.0,1.0
78,122,0.14079877734184265,1.0,0.10032058507204056
79,125,0.7810733318328857,0.15507125854492188,1.0
80,127,0.5650631189346313,0.4386080205440521,1.0
81,128,0.7184638977050781,1.0,1.0
82,129,0.8576990365982056,0.8695496320724487,1.0
83,130,0.39563655853271484,1.0,0.1332228183746338
84,131,0.14808793365955353,0.09539490193128586,1.0
85,132,0.749967098236084,0.8927987813949585,1.0
86,133,1.0,0.14919723570346832,0.5979164242744446
87,134,0.6782180070877075,1.0,1.0
88,135,0.8259809017181396,1.0,0.8852319717407227
89,137,0.12279298901557922,0.13962602615356445,1.0
90,138,1.0,0.6982712745666504,1.0
91,139,0.8154494762420654,0.8395270705223083,1.0
92,140,0.10215993970632553,0.07924352586269379,1.0
93,141,0.12879356741905212,0.07813281565904617,1.0
94,142,0.7378433346748352,1.0,1.0
95,143,0.7362906336784363,0.120541512966156,1.0
96,146,0.7064123153686523,1.0,1.0
97,147,0.5832093954086304,1.0,1.0
98,148,0.31871792674064636,1.0,1.0
99,150,0.19286267459392548,1.0,1.0
100,151,0.12045068293809891,0.1513902246952057,1.0
101,152,0.7080457210540771,0.11172827333211899,1.0
102,153,0.09545867145061493,0.11906100064516068,1.0
103,155,0.08984551578760147,1.0,1.0
104,156,-0.028252724558115005,-0.018177788704633713,0.48477762937545776
105,157,0.4472118020057678,0.06445327401161194,1.0
106,159,0.17797288298606873,0.9009455442428589,1.0
107,160,0.38650205731391907,1.0,1.0
108,161,0.10073439031839371,0.07322214543819427,1.0
109,163,0.6464831233024597,1.0,1.0
110,164,0.3719177544116974,0.21649707853794098,1.0
111,165,0.13045138120651245,0.10724109411239624,1.0
112,168,1.0,-0.01381059642881155,0.0776156410574913
113,169,0.8426016569137573,0.16659235954284668,1.0
