,participant_id,pwvVar,swvVar,uwvVar
0,8,0.13366703091171472,0.0954950798906442,1.0
1,27,0.6525044240758547,0.8345495241408858,1.0
2,28,0.765196238713679,0.9408219511591538,1.0
3,30,0.6854702452408685,1.0,1.0
4,32,0.6739507353940282,1.0,1.0
5,33,0.4534659337147813,0.36979718924208277,1.0
6,35,0.08597729226574016,0.8662298135856212,1.0
7,36,0.1281820611722299,0.7466329911150295,1.0
8,37,0.6731110725831259,0.16406295490442685,1.0
9,39,0.5358119889334934,1.0,0.7871184507490558
10,40,0.7769634359025444,1.0,0.11424938809261066
11,41,1.0,0.7491303160140529,1.0
12,44,0.2113523729187763,0.9422633155055183,1.0
13,47,0.12669272349539065,-0.044638483818512535,1.0
14,48,0.6625403292184545,0.6754157247098183,1.0
15,49,1.0,0.8488700830020766,1.0
16,50,0.8047489473497151,1.0,1.0
17,51,1.0,0.1162746387478134,1.0
18,52,1.0,0.11914741887183408,0.10211932247259578
19,53,0.12460853822509493,0.8444272856664252,1.0
20,54,0.16412998497905082,0.07124927250102313,1.0
21,55,0.594634409748817,1.0,1.0
22,56,0.4813683940575608,0.7779107922504249,1.0
23,57,0.7720301919255121,0.17098962384686886,1.0
24,58,,,
25,59,1.0,0.147346843817904,0.12896868256503358
26,60,0.9053721659949865,0.6950169721258179,1.0
27,61,0.8178479554989968,1.0,1.0
28,62,0.14062978122933104,0.1421977841696009,1.0
29,63,0.16180812985026025,0.10262848160261552,1.0
30,64,0.4911558865248302,0.5983118914808725,1.0
31,65,0.8912903524331511,0.7998125370015758,1.0
32,66,0.11113860383158998,0.12714322329362307,1.0
33,67,0.1559485606094302,0.6577330029912226,1.0
34,68,0.6328849955888503,1.0,1.0
35,69,0.6296097566755255,0.10919053863278731,1.0
36,70,0.6900058124263413,1.0,1.0
37,72,0.17174033935693203,1.0,0.3495201250080434
38,74,0.17961083513695683,1.0,0.8645138742355498
39,76,0.7624817113922953,0.8763209234185694,1.0
40,78,0.44727970157236113,0.1155609792424156,1.0
41,79,0.7778401333602021,1.0,1.0
42,80,,,
43,81,0.9310836237980531,0.7053883776900636,1.0
44,82,0.17333291031279574,0.5181889613337631,1.0
45,83,0.12594404335537956,0.6550361190618581,1.0
46,84,0.28552541714915025,0.8886492158914433,1.0
47,85,0.14657651704465272,0.20592808789773334,1.0
48,86,0.14642444378140684,1.0,0.12828334215497986
49,87,0.09312643731390619,0.11690081399177762,1.0
50,88,0.7351185604885564,0.08771469310333256,1.0
51,89,0.41457649368361454,0.8726016418473772,1.0
52,90,0.7352836473622877,0.8432966296505947,1.0
53,91,0.8383097269711236,1.0,1.0
54,93,0.34162439024546737,0.5582989562687971,1.0
55,94,1.0,0.09389417063864204,1.0
56,95,0.6837289892406883,-0.004294110712572166,1.0
57,96,0.1620600211465168,0.29301013204239046,1.0
58,97,0.823015340859555,1.0,0.788834420726207
59,98,0.0882672949284472,0.12014392625552146,1.0
60,99,0.6999680344186145,1.0,1.0
61,100,0.6813852493261592,1.0,0.9212737447176594
62,102,0.13800896634143814,0.16610805340478238,1.0
63,103,,0.12774619216985592,0.6881402179936158
64,104,0.806883391793935,1.0,1.0
65,105,0.0964379772216849,0.897787946419441,0.17407856432438185
66,107,0.791770518058334,0.815140960905465,1.0
67,108,0.30010694421375156,0.5557929395256462,1.0
68,109,0.9545343620355893,0.1072637510464411,0.07597531337255216
69,111,0.810643706600095,0.9602576555316864,1.0
70,112,1.0,0.4447974485274862,0.4897411427516495
71,113,0.10611040323331314,0.08008090687903383,1.0
72,114,0.15943084156301274,1.0,0.06747803908251652
73,116,,,
74,118,0.8315242374360471,1.0,0.9075348904567637
75,119,0.5739107558657508,0.7425228455054756,1.0
76,120,0.9195087295685359,0.9481898394874646,1.0
77,121,0.48283214596272495,1.0,1.0
78,122,0.14712569634450112,1.0,0.4446754171291593
79,125,0.7815270332330799,0.8237036498314354,1.0
80,127,0.13035627494974025,0.38340052603404645,1.0
81,128,0.7031948842642374,1.0,1.0
82,129,0.08898660986356649,0.15223315546916988,1.0
83,130,0.43629099485208434,1.0,1.0
84,131,0.6187687918643376,0.15836899051644485,1.0
85,132,0.10582369779938541,0.05206396778396021,1.0
86,133,1.0,0.7818280308586948,0.7790051508892557
87,134,0.12472476304680433,1.0,1.0
88,135,0.11251577923962505,1.0,0.7986067927882864
89,137,0.12279299741340682,0.14013198175340952,1.0
90,138,1.0,0.775948745133463,1.0
91,139,0.8264275082983887,0.12887741273330677,1.0
92,140,0.43939221340539864,0.6218002467969906,1.0
93,141,0.5082195399579028,0.11730898554305721,1.0
94,142,0.7602802159549632,1.0,1.0
95,143,0.515941596984524,0.12054151488910667,1.0
96,146,0.7163991293152125,1.0,1.0
97,147,0.7024007675254634,1.0,1.0
98,148,0.506422016378354,1.0,1.0
99,150,0.19286269489285,1.0,1.0
100,151,0.12045068881727888,0.1513902219087486,1.0
101,152,0.04195760362554124,0.11172828007196581,1.0
102,153,0.618287099512852,0.08794526287323619,1.0
103,155,0.6646489976844492,1.0,1.0
104,156,0.12717240300305221,0.4909111088088831,1.0
105,157,0.4472118006589305,0.04348195476634409,1.0
106,159,0.7116632919736237,0.7263173372861996,1.0
107,160,0.5362861373106758,1.0,1.0
108,161,0.7455410871266663,0.7727380853294613,1.0
109,163,0.6332995425988172,0.8199267469792386,1.0
110,164,0.09144386911788116,0.3566201071586696,1.0
111,165,0.7164726491430954,0.13202380669875555,1.0
112,168,1.0,-0.01381059962661829,0.07761564355837207
113,169,0.042692584575459214,0.16659235601178016,1.0
